,Reader,RFID,Time,Date,Timestamp,num,Day,Adjust,Adjust_num,Good_num
50,R30,2.50E+25,3:54:27,1:01:00,00-01-01 3:54,946698867,2,17-11-18 17:04,1511024640,2457723507
51,R30,2.50E+25,3:57:46,1:01:00,00-01-01 3:57,946699066,2,17-11-18 17:04,1511024640,2457723706
52,R30,2.50E+25,5:35:50,1:01:00,00-01-01 5:35,946704950,2,17-11-18 17:04,1511024640,2457729590
53,R30,2.50E+25,5:35:50,1:01:00,00-01-01 5:35,946704950,2,17-11-18 17:04,1511024640,2457729590
54,R30,2.50E+25,8:00:37,1:01:00,00-01-01 8:00,946713637,2,17-11-18 17:04,1511024640,2457738277
55,R30,2.50E+25,8:00:37,1:01:00,00-01-01 8:00,946713637,2,17-11-18 17:04,1511024640,2457738277
56,R30,2.50E+25,8:54:24,1:01:00,00-01-01 8:54,946716864,2,17-11-18 17:04,1511024640,2457741504
57,R30,2.50E+25,8:54:24,1:01:00,00-01-01 8:54,946716864,2,17-11-18 17:04,1511024640,2457741504
58,R30,2.50E+25,8:54:25,1:01:00,00-01-01 8:54,946716865,2,17-11-18 17:04,1511024640,2457741505
59,R30,2.50E+25,8:54:25,1:01:00,00-01-01 8:54,946716865,2,17-11-18 17:04,1511024640,2457741505
60,R30,2.50E+25,8:54:25,1:01:00,00-01-01 8:54,946716865,2,17-11-18 17:04,1511024640,2457741505
61,R30,2.50E+25,8:54:26,1:01:00,00-01-01 8:54,946716866,2,17-11-18 17:04,1511024640,2457741506
62,R30,2.50E+25,8:54:26,1:01:00,00-01-01 8:54,946716866,2,17-11-18 17:04,1511024640,2457741506
63,R30,2.50E+25,8:54:27,1:01:00,00-01-01 8:54,946716867,2,17-11-18 17:04,1511024640,2457741507
64,R30,2.50E+25,8:54:27,1:01:00,00-01-01 8:54,946716867,2,17-11-18 17:04,1511024640,2457741507
65,R30,2.50E+25,8:54:27,1:01:00,00-01-01 8:54,946716867,2,17-11-18 17:04,1511024640,2457741507
66,R30,2.50E+25,8:54:28,1:01:00,00-01-01 8:54,946716868,2,17-11-18 17:04,1511024640,2457741508
67,R30,2.50E+25,8:54:28,1:01:00,00-01-01 8:54,946716868,2,17-11-18 17:04,1511024640,2457741508
68,R30,2.50E+25,8:54:30,1:01:00,00-01-01 8:54,946716870,2,17-11-18 17:04,1511024640,2457741510
69,R30,2.50E+25,9:48:57,1:01:00,00-01-01 9:48,946720137,2,17-11-18 17:04,1511024640,2457744777
70,R30,2.50E+25,9:48:57,1:01:00,00-01-01 9:48,946720137,2,17-11-18 17:04,1511024640,2457744777
71,R30,2.50E+25,9:48:57,1:01:00,00-01-01 9:48,946720137,2,17-11-18 17:04,1511024640,2457744777
72,R30,2.50E+25,9:48:58,1:01:00,00-01-01 9:48,946720138,2,17-11-18 17:04,1511024640,2457744778
73,R30,2.50E+25,9:48:58,1:01:00,00-01-01 9:48,946720138,2,17-11-18 17:04,1511024640,2457744778
74,R30,2.50E+25,9:49:01,1:01:00,00-01-01 9:49,946720141,2,17-11-18 17:04,1511024640,2457744781
75,R30,2.50E+25,9:49:01,1:01:00,00-01-01 9:49,946720141,2,17-11-18 17:04,1511024640,2457744781
76,R30,2.50E+25,9:49:01,1:01:00,00-01-01 9:49,946720141,2,17-11-18 17:04,1511024640,2457744781
77,R30,2.50E+25,9:49:27,1:01:00,00-01-01 9:49,946720167,2,17-11-18 17:04,1511024640,2457744807
78,R30,2.50E+25,9:49:28,1:01:00,00-01-01 9:49,946720168,2,17-11-18 17:04,1511024640,2457744808
79,R30,2.50E+25,9:49:28,1:01:00,00-01-01 9:49,946720168,2,17-11-18 17:04,1511024640,2457744808
80,R30,2.50E+25,9:50:06,1:01:00,00-01-01 9:50,946720206,2,17-11-18 17:04,1511024640,2457744846
81,R30,2.50E+25,9:50:07,1:01:00,00-01-01 9:50,946720207,2,17-11-18 17:04,1511024640,2457744847
