Burrow,Length,Notes
H41a,11,
B21,12.7,collapsed
F62,13.97,collapsed
H58b,16.5,collapsed
D57,17.5,collapsed
I17,17.78,
G4b,18,collapsed
B59b,19.5,
I31,22.5,
E16,25.4,
B22,25.4,collapsed
G2,26.5,
C19,26.67,collapsed
D9b,27,
A2b,28.5,crabby
A67,30,crabby
A66a,31.5,crabby
E70a,31.75,
C49,37.5,
G60,38.1,
F23a,38.1,
A2c,41.5,
A2a,43,
G6a,43.5,
H15a,45.72,
F16,49.53,
E70b,60.96,
G6b,62.23,
E69,63.5,
G4a,66,
H15c,85.09,
F70b,93.98,
,,
,,
,,
