Mouse_ID	RFID	Sex	Age
20	25048495349484952514948483	M	Adult
23	24848484848514870675767533	M	Adult
28	24848484848515048545752653	M	Adult
29	24848484848515049484950513	M	Adult
47	24848484848515157676670493	F	Adult
56	25048495349484952495250533	F	Adult
57	25048495349484952485051513	F	Adult
58	25048495349484952485351523	F	Adult
59	25048495349484952494950483	F	Adult
61	25048495349484953515748573	M	Adult
62	25048495349484952495150503	M	Adult
63	25048495349484952485451553	F	Adult
64	25048495349484952495350523	M	Adult
65	25048495349484952495550543	M	Adult
66	25048495349484952495750563	M	Adult
67	25048495349484952495450553	F	Adult
68	25048495349484952485651573	F	Adult
69	25048495349484952495050513	M	Adult
70	25048495349484952495650573	M	Adult
71	25048495349484952575065513	M	Juvenile
72	25048495349484952565766563	F	Adult
73	25048495349484952575765563	F	Adult
74	25048495349484952565566543	F	Adult
75	25048495349484952575465553	F	Adult
76	25048495349484952565266533	M	Adult
77	25048495349484952565166503	F	Adult
78	25048495349484952565066513	F	Adult
79	25048495349484952575265533	M	Adult
80	25048495349484952574965483	M	Adult
81	25048495349484952575565543	M	Adult
82	25048495349484952574865493	F	Adult
83	25048495349484952575165503	M	Adult
84	25048495349484952565666573	M	Adult
85	25048495349484952565466553	M	Adult
86	25048495349484952565366523	F	Adult
87	25048495349484952505649573	M	Adult
88	25048495349484952515048513	F	Adult
89	25048495349484952514848493	M	Adult
