INDV1,INDV2,N_AaAa,N_AAaa,N1_Aa,N2_Aa,RELATEDNESS_PHI
S0029,S0065,15,11,32,36,-0.102941
S0029,S0066,19,7,32,44,0.0657895
S0029,S0068,17,11,32,44,-0.0657895
S0029,S0069,14,14,32,36,-0.205882
S0029,S0073,17,8,32,38,0.0142857
S0029,S0074,9,12,32,29,-0.245902
S0029,S0075,11,3,32,40,0.0694444
S0029,S0076,8,9,32,31,-0.15873
S0029,S0077,14,15,32,26,-0.275862
S0029,S0078,20,7,32,45,0.0779221
S0029,S0079,17,7,32,38,0.0428571
S0029,S0080,14,11,32,41,-0.109589
S0029,S0081,13,10,32,45,-0.0909091
S0029,S0085,9,5,32,32,-0.015625
S0029,S0087,14,10,32,35,-0.0895522
S0029,S0088,15,17,32,29,-0.311475
S0029,S0089,22,7,32,48,0.1
S0029,S0090,14,11,32,35,-0.119403
S0029,S0091,13,10,32,39,-0.0985915
S0029,S0092,16,9,32,35,-0.0298507
S0029,S0093,17,9,32,40,-0.0138889
S0029,S0099,12,7,32,35,-0.0298507
S0029,S0101,13,5,32,39,0.0422535
S0029,S0102,13,8,32,37,-0.0434783
S0029,S0103,14,7,32,38,0
S0029,S0104,16,4,32,35,0.119403
S0029,S0105,15,5,32,45,0.0649351
S0029,S0110,12,3,32,49,0.0740741
S0029,S0111,16,10,32,42,-0.0540541
S0029,S0112,16,3,32,49,0.123457
S0029,S0113,11,6,32,32,-0.015625
S0029,S0114,17,11,32,40,-0.0694444
S0029,S0116,12,9,32,28,-0.1
S0029,S0117,12,5,32,29,0.0327869
S0029,S0121,21,2,32,68,0.17
S0029,S0123,18,12,32,43,-0.08
S0029,S0124,20,5,32,47,0.126582
S0029,S0125,9,6,32,25,-0.0526316
S0029,S0126,10,7,32,34,-0.0606061
S0029,S0127,11,9,32,32,-0.109375
S0029,S0128,14,6,32,37,0.0289855
S0029,S0129,10,10,32,35,-0.149254
S0029,S0134,13,7,32,47,-0.0126582
S0029,S0135,15,9,32,36,-0.0441176
S0029,S0136,8,19,32,28,-0.5
S0029,S0137,14,10,32,38,-0.0857143
S0029,S0138,12,4,32,36,0.0588235
S0029,S0139,12,13,32,37,-0.202899
S0029,S0141,14,11,32,35,-0.119403
S0029,S0146,14,2,32,45,0.12987
S0029,S0147,10,11,32,32,-0.1875
S0029,S0148,15,8,32,40,-0.0138889
S0029,S0150,10,9,32,31,-0.126984
S0029,S0151,15,2,32,40,0.152778
S0029,S0152,9,7,32,27,-0.0847458
S0029,S0153,10,12,32,37,-0.202899
S0029,S0157,12,7,32,34,-0.030303
S0029,S0158,16,10,32,35,-0.0597015
S0029,S0159,13,10,32,35,-0.104478
S0029,S0161,15,9,32,35,-0.0447761
S0029,S0162,13,10,32,34,-0.106061
S0029,S0163,14,8,32,38,-0.0285714
S0029,S0164,14,7,32,40,0
S0029,S0165,17,9,32,39,-0.0140845
S0029,S0169,15,13,32,35,-0.164179
S0029,S0170,10,6,32,34,-0.030303
S0029,S0171,21,1,32,59,0.208791
S0029,S0172,20,7,32,45,0.0779221
S0029,S0173,13,9,32,43,-0.0666667
S0029,S0174,14,4,32,43,0.08
S0029,S0175,14,7,32,26,0
S0029,S0176,20,8,32,46,0.0512821
S0029,S0177,10,3,32,33,0.0615385
S0029,S0181,14,7,32,32,0
S0029,S0182,14,10,32,41,-0.0821918
S0029,S0183,19,11,32,46,-0.0384615
S0029,S0184,14,6,32,44,0.0263158
S0029,S0185,11,16,32,25,-0.368421
S0029,S0186,15,11,32,37,-0.101449
S0029,S0187,13,3,32,31,0.111111
S0029,S0188,14,6,32,30,0.0322581
S0029,S0189,12,11,32,40,-0.138889
S0030,S0001,14,9,31,34,-0.0615385
S0030,S0002,24,2,31,70,0.19802
S0030,S0004,12,15,31,31,-0.290323
S0030,S0005,18,5,31,44,0.106667
S0030,S0006,15,6,31,43,0.0405405
S0030,S0007,11,5,31,30,0.0163934
S0030,S0008,13,5,31,38,0.0434783
S0030,S0009,12,15,31,28,-0.305085
S0030,S0015,19,2,31,56,0.172414
S0030,S0016,12,6,31,40,0
S0030,S0017,15,12,31,40,-0.126761
S0030,S0018,16,1,31,57,0.159091
S0030,S0019,13,10,31,38,-0.101449
S0030,S0020,16,11,31,38,-0.0869565
S0030,S0021,12,15,31,33,-0.28125
S0030,S0025,17,7,31,44,0.04
S0030,S0026,8,9,31,33,-0.15625
S0030,S0027,11,10,31,37,-0.132353
S0030,S0028,16,15,31,40,-0.197183
S0030,S0029,18,12,31,32,-0.0952381
S0030,S0030,31,0,31,31,0.5
S0030,S0031,12,7,31,34,-0.0307692
S0030,S0032,8,4,31,43,0
S0030,S0033,17,10,31,38,-0.0434783
S0030,S0037,14,8,31,45,-0.0263158
S0030,S0038,13,4,31,32,0.0793651
S0030,S0039,13,10,31,34,-0.107692
S0030,S0040,15,11,31,36,-0.104478
S0030,S0041,18,9,31,45,0
S0030,S0042,18,11,31,40,-0.056338
S0030,S0043,20,9,31,51,0.0243902
S0030,S0044,15,4,31,33,0.109375
S0030,S0045,12,9,31,38,-0.0869565
S0030,S0051,14,7,31,24,0
S0030,S0052,10,8,31,36,-0.0895522
S0030,S0053,12,10,31,27,-0.137931
S0030,S0054,19,3,31,50,0.160494
S0030,S0055,13,3,31,35,0.106061
S0030,S0056,14,12,31,28,-0.169492
S0030,S0057,10,12,31,33,-0.21875
S0030,S0062,9,6,31,38,-0.0434783
S0030,S0063,17,6,31,38,0.0724638
S0030,S0065,15,6,31,36,0.0447761
S0030,S0066,17,8,31,44,0.0133333
S0030,S0068,19,9,31,44,0.0133333
S0030,S0069,15,13,31,36,-0.164179
S0030,S0073,14,10,31,38,-0.0869565
S0030,S0074,10,10,31,29,-0.166667
S0030,S0075,13,6,31,40,0.0140845
S0030,S0076,8,8,31,31,-0.129032
S0030,S0077,13,14,31,26,-0.263158
S0030,S0078,17,9,31,45,-0.0131579
S0030,S0079,14,10,31,38,-0.0869565
S0030,S0080,12,8,31,41,-0.0555556
S0030,S0081,12,12,31,45,-0.157895
S0030,S0085,10,9,31,32,-0.126984
S0030,S0087,13,6,31,35,0.0151515
S0030,S0088,13,9,31,29,-0.0833333
S0030,S0089,17,4,31,48,0.113924
S0030,S0090,12,15,31,35,-0.272727
S0030,S0091,16,9,31,39,-0.0285714
S0030,S0092,14,16,31,35,-0.272727
S0030,S0093,14,6,31,40,0.028169
S0030,S0099,17,15,31,35,-0.19697
S0030,S0101,13,10,31,39,-0.1
S0030,S0102,13,12,31,37,-0.161765
S0030,S0103,11,4,31,38,0.0434783
S0030,S0104,13,7,31,35,-0.0151515
S0030,S0105,18,4,31,45,0.131579
S0030,S0110,14,6,31,49,0.025
S0030,S0111,12,12,31,42,-0.164384
S0030,S0112,18,6,31,49,0.075
S0030,S0113,11,8,31,32,-0.0793651
S0030,S0114,13,14,31,40,-0.211268
S0030,S0116,11,10,31,28,-0.152542
S0030,S0117,12,7,31,29,-0.0333333
S0030,S0121,22,2,31,68,0.181818
S0030,S0123,17,7,31,43,0.0405405
S0030,S0124,15,7,31,47,0.0128205
S0030,S0125,10,9,31,25,-0.142857
S0030,S0126,12,11,31,34,-0.153846
S0030,S0127,9,10,31,32,-0.174603
S0030,S0128,15,11,31,37,-0.102941
S0030,S0129,16,3,31,35,0.151515
S0030,S0134,10,4,31,47,0.025641
S0030,S0135,15,11,31,36,-0.104478
S0030,S0136,11,15,31,28,-0.322034
S0030,S0137,12,12,31,38,-0.173913
S0030,S0138,12,8,31,36,-0.0597015
S0030,S0139,12,8,31,37,-0.0588235
S0030,S0141,10,9,31,35,-0.121212
S0030,S0146,14,8,31,45,-0.0263158
S0030,S0147,9,7,31,32,-0.0793651
S0030,S0148,14,11,31,40,-0.112676
S0030,S0150,11,13,31,31,-0.241935
S0030,S0151,15,3,31,40,0.126761
S0030,S0152,8,6,31,27,-0.0689655
S0030,S0153,6,9,31,37,-0.176471
S0030,S0157,15,10,31,34,-0.0769231
S0030,S0158,13,12,31,35,-0.166667
S0030,S0159,11,13,31,35,-0.227273
S0030,S0161,13,7,31,35,-0.0151515
S0030,S0162,10,6,31,34,-0.0307692
S0030,S0163,15,11,31,38,-0.101449
S0030,S0164,13,5,31,40,0.0422535
S0030,S0165,11,2,31,39,0.1
S0030,S0169,7,10,31,35,-0.19697
S0030,S0170,15,9,31,34,-0.0461538
S0030,S0171,22,1,31,59,0.222222
S0030,S0172,18,9,31,45,0
S0030,S0173,14,7,31,43,0
S0030,S0174,11,5,31,43,0.0135135
S0030,S0175,14,10,31,26,-0.105263
S0030,S0176,18,6,31,46,0.0779221
S0030,S0177,13,8,31,33,-0.046875
S0030,S0181,15,11,31,32,-0.111111
S0030,S0182,13,14,31,41,-0.208333
S0030,S0183,14,8,31,46,-0.025974
S0030,S0184,15,10,31,44,-0.0666667
S0030,S0185,7,15,31,25,-0.410714
S0030,S0186,13,9,31,37,-0.0735294
S0030,S0187,12,6,31,31,0
S0030,S0188,11,12,31,30,-0.213115
S0030,S0189,11,9,31,40,-0.0985915
S0031,S0001,14,6,34,34,0.0294118
S0031,S0002,30,0,34,70,0.288462
S0031,S0004,10,7,34,31,-0.0615385
S0031,S0005,12,4,34,44,0.0512821
S0031,S0006,16,3,34,43,0.12987
S0031,S0007,11,8,34,30,-0.078125
S0031,S0008,12,2,34,38,0.111111
S0031,S0009,14,11,34,28,-0.129032
S0031,S0015,22,2,34,56,0.2
S0031,S0016,13,5,34,40,0.0405405
S0031,S0017,18,7,34,40,0.0540541
S0031,S0018,25,2,34,57,0.230769
S0031,S0019,14,5,34,38,0.0555556
S0031,S0020,12,5,34,38,0.0277778
S0031,S0021,17,9,34,33,-0.0149254
S0031,S0025,21,3,34,44,0.192308
S0031,S0026,15,8,34,33,-0.0149254
S0031,S0027,13,8,34,37,-0.0422535
S0031,S0028,18,8,34,40,0.027027
S0031,S0029,10,5,34,32,0
S0031,S0030,12,7,34,31,-0.0307692
S0031,S0031,34,0,34,34,0.5
S0031,S0032,15,1,34,43,0.168831
S0031,S0033,19,8,34,38,0.0416667
S0031,S0037,17,8,34,45,0.0126582
S0031,S0038,14,3,34,32,0.121212
S0031,S0039,14,9,34,34,-0.0588235
S0031,S0040,13,5,34,36,0.0428571
S0031,S0041,20,10,34,45,0
S0031,S0042,19,5,34,40,0.121622
S0031,S0043,22,8,34,51,0.0705882
S0031,S0044,13,5,34,33,0.0447761
S0031,S0045,15,9,34,38,-0.0416667
S0031,S0051,10,8,34,24,-0.103448
S0031,S0052,12,5,34,36,0.0285714
S0031,S0053,7,5,34,27,-0.0491803
S0031,S0054,22,3,34,50,0.190476
S0031,S0055,12,2,34,35,0.115942
S0031,S0056,10,8,34,28,-0.0967742
S0031,S0057,12,10,34,33,-0.119403
S0031,S0062,17,10,34,38,-0.0416667
S0031,S0063,16,5,34,38,0.0833333
S0031,S0065,11,8,34,36,-0.0714286
S0031,S0066,18,3,34,44,0.153846
S0031,S0068,15,4,34,44,0.0897436
S0031,S0069,17,8,34,36,0.0142857
S0031,S0073,11,4,34,38,0.0416667
S0031,S0074,7,6,34,29,-0.0793651
S0031,S0075,17,2,34,40,0.175676
S0031,S0076,13,7,34,31,-0.0153846
S0031,S0077,13,10,34,26,-0.116667
S0031,S0078,22,4,34,45,0.177215
S0031,S0079,15,4,34,38,0.0972222
S0031,S0080,18,9,34,41,0
S0031,S0081,20,9,34,45,0.0253165
S0031,S0085,15,5,34,32,0.0757576
S0031,S0087,11,3,34,35,0.0724638
S0031,S0088,10,7,34,29,-0.0634921
S0031,S0089,21,2,34,48,0.207317
S0031,S0090,15,13,34,35,-0.15942
S0031,S0091,19,12,34,39,-0.0684932
S0031,S0092,16,14,34,35,-0.173913
S0031,S0093,16,5,34,40,0.0810811
S0031,S0099,11,10,34,35,-0.130435
S0031,S0101,14,5,34,39,0.0547945
S0031,S0102,13,5,34,37,0.0422535
S0031,S0103,14,4,34,38,0.0833333
S0031,S0104,16,3,34,35,0.144928
S0031,S0105,15,6,34,45,0.0379747
S0031,S0110,17,3,34,49,0.13253
S0031,S0111,15,7,34,42,0.0131579
S0031,S0112,21,5,34,49,0.13253
S0031,S0113,11,8,34,32,-0.0757576
S0031,S0114,17,10,34,40,-0.0405405
S0031,S0116,10,6,34,28,-0.0322581
S0031,S0117,12,4,34,29,0.0634921
S0031,S0121,27,1,34,68,0.245098
S0031,S0123,21,8,34,43,0.0649351
S0031,S0124,21,4,34,47,0.160494
S0031,S0125,10,7,34,25,-0.0677966
S0031,S0126,12,8,34,34,-0.0588235
S0031,S0127,11,9,34,32,-0.106061
S0031,S0128,10,6,34,37,-0.028169
S0031,S0129,14,4,34,35,0.0869565
S0031,S0134,15,2,34,47,0.135802
S0031,S0135,13,10,34,36,-0.1
S0031,S0136,8,12,34,28,-0.258065
S0031,S0137,9,7,34,38,-0.0694444
S0031,S0138,14,9,34,36,-0.0571429
S0031,S0139,12,7,34,37,-0.028169
S0031,S0141,12,6,34,35,0
S0031,S0146,23,6,34,45,0.139241
S0031,S0147,10,9,34,32,-0.121212
S0031,S0148,19,7,34,40,0.0675676
S0031,S0150,13,7,34,31,-0.0153846
S0031,S0151,15,0,34,40,0.202703
S0031,S0152,13,7,34,27,-0.0163934
S0031,S0153,19,11,34,37,-0.0422535
S0031,S0157,14,8,34,34,-0.0294118
S0031,S0158,12,6,34,35,0
S0031,S0159,18,9,34,35,0
S0031,S0161,15,7,34,35,0.0144928
S0031,S0162,8,4,34,34,0
S0031,S0163,13,7,34,38,-0.0138889
S0031,S0164,13,3,34,40,0.0945946
S0031,S0165,12,3,34,39,0.0821918
S0031,S0169,13,10,34,35,-0.101449
S0031,S0170,14,5,34,34,0.0588235
S0031,S0171,28,2,34,59,0.258065
S0031,S0172,20,6,34,45,0.101266
S0031,S0173,22,9,34,43,0.0519481
S0031,S0174,16,2,34,43,0.155844
S0031,S0175,10,6,34,26,-0.0333333
S0031,S0176,13,5,34,46,0.0375
S0031,S0177,18,8,34,33,0.0298507
S0031,S0181,10,7,34,32,-0.0606061
S0031,S0182,15,10,34,41,-0.0666667
S0031,S0183,13,9,34,46,-0.0625
S0031,S0184,19,4,34,44,0.141026
S0031,S0185,9,9,34,25,-0.152542
S0031,S0186,14,7,34,37,0
S0031,S0187,11,2,34,31,0.107692
S0031,S0188,11,11,34,30,-0.171875
S0031,S0189,16,6,34,40,0.0540541
S0032,S0001,17,4,43,34,0.116883
S0032,S0002,40,0,43,70,0.353982
S0032,S0004,14,5,43,31,0.0540541
S0032,S0005,20,9,43,44,0.0229885
S0032,S0006,28,0,43,43,0.325581
S0032,S0007,13,9,43,30,-0.0684932
S0032,S0008,22,2,43,38,0.222222
S0032,S0009,14,5,43,28,0.056338
S0032,S0015,36,1,43,56,0.343434
S0032,S0016,24,9,43,40,0.0722892
S0032,S0017,20,1,43,40,0.216867
S0032,S0018,37,0,43,57,0.37
S0032,S0019,21,11,43,38,-0.0123457
S0032,S0020,18,5,43,38,0.0987654
S0032,S0021,16,5,43,33,0.0789474
S0032,S0025,15,5,43,44,0.0574713
S0032,S0026,18,8,43,33,0.0263158
S0032,S0027,11,2,43,37,0.0875
S0032,S0028,22,4,43,40,0.168675
S0032,S0029,10,8,43,32,-0.08
S0032,S0030,8,4,43,31,0
S0032,S0031,15,1,43,34,0.168831
S0032,S0032,43,0,43,43,0.5
S0032,S0033,13,5,43,38,0.037037
S0032,S0037,22,1,43,45,0.227273
S0032,S0038,13,4,43,32,0.0666667
S0032,S0039,11,8,43,34,-0.0649351
S0032,S0040,16,6,43,36,0.0506329
S0032,S0041,15,6,43,45,0.0340909
S0032,S0042,12,4,43,40,0.0481928
S0032,S0043,19,1,43,51,0.180851
S0032,S0044,14,5,43,33,0.0526316
S0032,S0045,16,9,43,38,-0.0246914
S0032,S0051,10,4,43,24,0.0298507
S0032,S0052,16,2,43,36,0.151899
S0032,S0053,14,8,43,27,-0.0285714
S0032,S0054,24,1,43,50,0.236559
S0032,S0055,17,1,43,35,0.192308
S0032,S0056,15,5,43,28,0.0704225
S0032,S0057,18,9,43,33,0
S0032,S0062,24,12,43,38,0
S0032,S0063,11,3,43,38,0.0617284
S0032,S0065,21,3,43,36,0.189873
S0032,S0066,22,2,43,44,0.206897
S0032,S0068,22,5,43,44,0.137931
S0032,S0069,16,3,43,36,0.126582
S0032,S0073,21,9,43,38,0.037037
S0032,S0074,16,11,43,29,-0.0833333
S0032,S0075,21,3,43,40,0.180723
S0032,S0076,15,14,43,31,-0.175676
S0032,S0077,11,7,43,26,-0.0434783
S0032,S0078,16,3,43,45,0.113636
S0032,S0079,19,8,43,38,0.037037
S0032,S0080,19,5,43,41,0.107143
S0032,S0081,24,3,43,45,0.204545
S0032,S0085,15,4,43,32,0.0933333
S0032,S0087,15,6,43,35,0.0384615
S0032,S0088,15,7,43,29,0.0138889
S0032,S0089,25,3,43,48,0.208791
S0032,S0090,14,6,43,35,0.025641
S0032,S0091,19,8,43,39,0.0365854
S0032,S0092,11,3,43,35,0.0641026
S0032,S0093,22,5,43,40,0.144578
S0032,S0099,16,6,43,35,0.0512821
S0032,S0101,24,9,43,39,0.0731707
S0032,S0102,18,5,43,37,0.1
S0032,S0103,15,4,43,38,0.0864198
S0032,S0104,15,3,43,35,0.115385
S0032,S0105,22,7,43,45,0.0909091
S0032,S0110,30,0,43,49,0.326087
S0032,S0111,19,6,43,42,0.0823529
S0032,S0112,21,2,43,49,0.184783
S0032,S0113,16,8,43,32,0
S0032,S0114,17,6,43,40,0.060241
S0032,S0116,13,6,43,28,0.0140845
S0032,S0117,14,7,43,29,0
S0032,S0121,39,0,43,68,0.351351
S0032,S0123,19,4,43,43,0.127907
S0032,S0124,22,3,43,47,0.177778
S0032,S0125,8,4,43,25,0
S0032,S0126,17,6,43,34,0.0649351
S0032,S0127,10,3,43,32,0.0533333
S0032,S0128,17,5,43,37,0.0875
S0032,S0129,16,4,43,35,0.102564
S0032,S0134,36,0,43,47,0.4
S0032,S0135,18,9,43,36,0
S0032,S0136,13,4,43,28,0.0704225
S0032,S0137,18,6,43,38,0.0740741
S0032,S0138,22,7,43,36,0.101266
S0032,S0139,20,8,43,37,0.05
S0032,S0141,14,2,43,35,0.128205
S0032,S0146,25,7,43,45,0.125
S0032,S0147,18,6,43,32,0.08
S0032,S0148,19,3,43,40,0.156627
S0032,S0150,16,7,43,31,0.027027
S0032,S0151,21,0,43,40,0.253012
S0032,S0152,17,6,43,27,0.0714286
S0032,S0153,24,7,43,37,0.125
S0032,S0157,19,7,43,34,0.0649351
S0032,S0158,16,5,43,35,0.0769231
S0032,S0159,16,3,43,35,0.128205
S0032,S0161,14,10,43,35,-0.0769231
S0032,S0162,15,8,43,34,-0.012987
S0032,S0163,21,8,43,38,0.0617284
S0032,S0164,21,3,43,40,0.180723
S0032,S0165,25,2,43,39,0.256098
S0032,S0169,15,7,43,35,0.0128205
S0032,S0170,16,5,43,34,0.0779221
S0032,S0171,29,3,43,59,0.22549
S0032,S0172,20,2,43,45,0.181818
S0032,S0173,20,4,43,43,0.139535
S0032,S0174,22,4,43,43,0.162791
S0032,S0175,12,8,43,26,-0.057971
S0032,S0176,19,4,43,46,0.123596
S0032,S0177,16,9,43,33,-0.0263158
S0032,S0181,12,5,43,32,0.0266667
S0032,S0182,20,8,43,41,0.047619
S0032,S0183,24,12,43,46,0
S0032,S0184,20,5,43,44,0.114943
S0032,S0185,20,7,43,25,0.0882353
S0032,S0186,17,3,43,37,0.1375
S0032,S0187,13,3,43,31,0.0945946
S0032,S0188,14,8,43,30,-0.0273973
S0032,S0189,24,5,43,40,0.168675
S0033,S0001,17,8,38,34,0.0138889
S0033,S0002,28,2,38,70,0.222222
S0033,S0004,14,7,38,31,0
S0033,S0005,17,6,38,44,0.0609756
S0033,S0006,19,6,38,43,0.0864198
S0033,S0007,16,9,38,30,-0.0294118
S0033,S0008,18,8,38,38,0.0263158
S0033,S0009,14,6,38,28,0.030303
S0033,S0015,21,1,38,56,0.202128
S0033,S0016,13,6,38,40,0.0128205
S0033,S0017,25,4,38,40,0.217949
S0033,S0018,21,1,38,57,0.2
S0033,S0019,15,5,38,38,0.0657895
S0033,S0020,14,10,38,38,-0.0789474
S0033,S0021,19,10,38,33,-0.0140845
S0033,S0025,24,8,38,44,0.097561
S0033,S0026,14,7,38,33,0
S0033,S0027,17,10,38,37,-0.04
S0033,S0028,20,5,38,40,0.128205
S0033,S0029,16,9,38,32,-0.0285714
S0033,S0030,17,10,38,31,-0.0434783
S0033,S0031,19,8,38,34,0.0416667
S0033,S0032,13,5,38,43,0.037037
S0033,S0033,38,0,38,38,0.5
S0033,S0037,25,9,38,45,0.0843373
S0033,S0038,16,7,38,32,0.0285714
S0033,S0039,16,10,38,34,-0.0555556
S0033,S0040,18,6,38,36,0.0810811
S0033,S0041,24,10,38,45,0.0481928
S0033,S0042,20,10,38,40,0
S0033,S0043,24,8,38,51,0.0898876
S0033,S0044,17,8,38,33,0.0140845
S0033,S0045,19,3,38,38,0.171053
S0033,S0051,13,12,38,24,-0.177419
S0033,S0052,18,9,38,36,0
S0033,S0053,12,8,38,27,-0.0615385
S0033,S0054,23,3,38,50,0.193182
S0033,S0055,17,3,38,35,0.150685
S0033,S0056,17,12,38,28,-0.106061
S0033,S0057,15,4,38,33,0.0985915
S0033,S0062,18,11,38,38,-0.0526316
S0033,S0063,20,6,38,38,0.105263
S0033,S0065,17,8,38,36,0.0135135
S0033,S0066,23,11,38,44,0.0121951
S0033,S0068,22,10,38,44,0.0243902
S0033,S0069,21,7,38,36,0.0945946
S0033,S0073,17,9,38,38,-0.0131579
S0033,S0074,10,12,38,29,-0.208955
S0033,S0075,20,5,38,40,0.128205
S0033,S0076,10,6,38,31,-0.0289855
S0033,S0077,15,7,38,26,0.015625
S0033,S0078,26,10,38,45,0.0722892
S0033,S0079,19,7,38,38,0.0657895
S0033,S0080,15,8,38,41,-0.0126582
S0033,S0081,22,9,38,45,0.0481928
S0033,S0085,16,9,38,32,-0.0285714
S0033,S0087,14,5,38,35,0.0547945
S0033,S0088,12,10,38,29,-0.119403
S0033,S0089,24,6,38,48,0.139535
S0033,S0090,18,9,38,35,0
S0033,S0091,20,5,38,39,0.12987
S0033,S0092,23,11,38,35,0.0136986
S0033,S0093,18,7,38,40,0.0512821
S0033,S0099,18,9,38,35,0
S0033,S0101,17,6,38,39,0.0649351
S0033,S0102,13,7,38,37,-0.0133333
S0033,S0103,19,9,38,38,0.0131579
S0033,S0104,20,10,38,35,0
S0033,S0105,24,9,38,45,0.0722892
S0033,S0110,17,4,38,49,0.103448
S0033,S0111,19,11,38,42,-0.0375
S0033,S0112,25,4,38,49,0.195402
S0033,S0113,13,8,38,32,-0.0428571
S0033,S0114,23,7,38,40,0.115385
S0033,S0116,13,12,38,28,-0.166667
S0033,S0117,13,10,38,29,-0.104478
S0033,S0121,24,0,38,68,0.226415
S0033,S0123,28,4,38,43,0.246914
S0033,S0124,23,10,38,47,0.0352941
S0033,S0125,16,11,38,25,-0.0952381
S0033,S0126,21,12,38,34,-0.0416667
S0033,S0127,16,10,38,32,-0.0571429
S0033,S0128,13,8,38,37,-0.04
S0033,S0129,19,9,38,35,0.0136986
S0033,S0134,13,4,38,47,0.0588235
S0033,S0135,16,8,38,36,0
S0033,S0136,13,7,38,28,-0.0151515
S0033,S0137,18,9,38,38,0
S0033,S0138,15,6,38,36,0.0405405
S0033,S0139,12,13,38,37,-0.186667
S0033,S0141,15,6,38,35,0.0410959
S0033,S0146,22,4,38,45,0.168675
S0033,S0147,13,13,38,32,-0.185714
S0033,S0148,20,9,38,40,0.025641
S0033,S0150,16,4,38,31,0.115942
S0033,S0151,22,3,38,40,0.205128
S0033,S0152,11,9,38,27,-0.107692
S0033,S0153,16,2,38,37,0.16
S0033,S0157,21,7,38,34,0.0972222
S0033,S0158,18,11,38,35,-0.0547945
S0033,S0159,18,6,38,35,0.0821918
S0033,S0161,19,7,38,35,0.0684932
S0033,S0162,17,11,38,34,-0.0694444
S0033,S0163,21,11,38,38,-0.0131579
S0033,S0164,16,4,38,40,0.102564
S0033,S0165,13,5,38,39,0.038961
S0033,S0169,17,7,38,35,0.0410959
S0033,S0170,16,7,38,34,0.0277778
S0033,S0171,29,1,38,59,0.278351
S0033,S0172,27,7,38,45,0.156627
S0033,S0173,19,6,38,43,0.0864198
S0033,S0174,24,8,38,43,0.0987654
S0033,S0175,13,8,38,26,-0.046875
S0033,S0176,20,4,38,46,0.142857
S0033,S0177,13,8,38,33,-0.0422535
S0033,S0181,17,10,38,32,-0.0428571
S0033,S0182,15,6,38,41,0.0379747
S0033,S0183,20,13,38,46,-0.0714286
S0033,S0184,18,3,38,44,0.146341
S0033,S0185,9,8,38,25,-0.111111
S0033,S0186,18,9,38,37,0
S0033,S0187,16,7,38,31,0.0289855
S0033,S0188,9,9,38,30,-0.132353
S0033,S0189,15,8,38,40,-0.0128205
S0037,S0001,22,3,45,34,0.202532
S0037,S0002,39,0,45,70,0.33913
S0037,S0004,14,8,45,31,-0.0263158
S0037,S0005,22,7,45,44,0.0898876
S0037,S0006,26,3,45,43,0.227273
S0037,S0007,15,9,45,30,-0.04
S0037,S0008,24,5,45,38,0.168675
S0037,S0009,14,5,45,28,0.0547945
S0037,S0015,32,3,45,56,0.257426
S0037,S0016,17,8,45,40,0.0117647
S0037,S0017,26,4,45,40,0.211765
S0037,S0018,34,0,45,57,0.333333
S0037,S0019,18,7,45,38,0.0481928
S0037,S0020,18,3,45,38,0.144578
S0037,S0021,17,4,45,33,0.115385
S0037,S0025,28,8,45,44,0.134831
S0037,S0026,17,3,45,33,0.141026
S0037,S0027,22,5,45,37,0.146341
S0037,S0028,22,3,45,40,0.188235
S0037,S0029,15,5,45,32,0.0649351
S0037,S0030,14,8,45,31,-0.0263158
S0037,S0031,17,8,45,34,0.0126582
S0037,S0032,22,1,45,43,0.227273
S0037,S0033,25,9,45,38,0.0843373
S0037,S0037,45,0,45,45,0.5
S0037,S0038,17,7,45,32,0.038961
S0037,S0039,14,4,45,34,0.0759494
S0037,S0040,22,5,45,36,0.148148
S0037,S0041,24,4,45,45,0.177778
S0037,S0042,20,5,45,40,0.117647
S0037,S0043,27,3,45,51,0.21875
S0037,S0044,19,7,45,33,0.0641026
S0037,S0045,14,6,45,38,0.0240964
S0037,S0051,14,10,45,24,-0.0869565
S0037,S0052,19,6,45,36,0.0864198
S0037,S0053,17,7,45,27,0.0416667
S0037,S0054,23,2,45,50,0.2
S0037,S0055,28,1,45,35,0.325
S0037,S0056,18,7,45,28,0.0547945
S0037,S0057,17,8,45,33,0.0128205
S0037,S0062,20,5,45,38,0.120482
S0037,S0063,22,6,45,38,0.120482
S0037,S0065,21,6,45,36,0.111111
S0037,S0066,23,5,45,44,0.146067
S0037,S0068,27,7,45,44,0.146067
S0037,S0069,23,9,45,36,0.0617284
S0037,S0073,20,4,45,38,0.144578
S0037,S0074,14,11,45,29,-0.108108
S0037,S0075,23,5,45,40,0.152941
S0037,S0076,14,8,45,31,-0.0263158
S0037,S0077,14,11,45,26,-0.112676
S0037,S0078,21,5,45,45,0.122222
S0037,S0079,21,5,45,38,0.13253
S0037,S0080,17,5,45,41,0.0813953
S0037,S0081,25,6,45,45,0.144444
S0037,S0085,16,5,45,32,0.0779221
S0037,S0087,17,3,45,35,0.1375
S0037,S0088,12,5,45,29,0.027027
S0037,S0089,28,6,45,48,0.172043
S0037,S0090,18,6,45,35,0.075
S0037,S0091,22,4,45,39,0.166667
S0037,S0092,19,5,45,35,0.1125
S0037,S0093,21,3,45,40,0.176471
S0037,S0099,18,5,45,35,0.1
S0037,S0101,23,5,45,39,0.154762
S0037,S0102,17,1,45,37,0.182927
S0037,S0103,23,5,45,38,0.156627
