INDV1,INDV2,N_AaAa,N_AAaa,N1_Aa,N2_Aa,RELATEDNESS_PHI
S0002,S0005,32,1,70,44,0.263158
S0002,S0006,38,0,70,43,0.336283
S0002,S0007,22,2,70,30,0.18
S0002,S0008,35,0,70,38,0.324074
S0002,S0009,24,1,70,28,0.22449
S0002,S0015,51,0,70,56,0.404762
S0002,S0016,32,0,70,40,0.290909
S0002,S0017,35,0,70,40,0.318182
S0002,S0018,55,0,70,57,0.433071
S0002,S0019,31,0,70,38,0.287037
S0002,S0020,31,0,70,38,0.287037
S0002,S0021,29,0,70,33,0.281553
S0002,S0025,36,0,70,44,0.315789
S0002,S0026,27,1,70,33,0.242718
S0002,S0027,27,0,70,37,0.252336
S0002,S0028,36,0,70,40,0.327273
S0002,S0029,24,0,70,32,0.235294
S0002,S0030,24,2,70,31,0.19802
S0002,S0031,30,0,70,34,0.288462
S0002,S0032,40,0,70,43,0.353982
S0002,S0033,28,2,70,38,0.222222
S0002,S0037,39,0,70,45,0.33913
S0002,S0038,23,0,70,32,0.22549
S0002,S0039,25,2,70,34,0.201923
S0002,S0040,30,0,70,36,0.283019
S0002,S0041,34,0,70,45,0.295652
S0002,S0042,29,0,70,40,0.263636
S0002,S0043,37,0,70,51,0.305785
S0002,S0044,24,0,70,33,0.23301
S0002,S0045,28,3,70,38,0.203704
S0002,S0051,19,1,70,24,0.180851
S0002,S0052,27,1,70,36,0.235849
S0002,S0053,23,0,70,27,0.237113
S0002,S0054,41,0,70,50,0.341667
S0002,S0055,29,0,70,35,0.27619
S0002,S0056,21,0,70,28,0.214286
S0002,S0057,24,1,70,33,0.213592
S0002,S0062,33,2,70,38,0.268519
S0002,S0063,27,0,70,38,0.25
S0002,S0065,27,1,70,36,0.235849
S0002,S0066,37,0,70,44,0.324561
S0002,S0068,33,0,70,44,0.289474
S0002,S0069,30,0,70,36,0.283019
S0002,S0073,31,0,70,38,0.287037
S0002,S0074,23,1,70,29,0.212121
S0002,S0075,33,0,70,40,0.3
S0002,S0076,23,0,70,31,0.227723
S0002,S0077,20,2,70,26,0.166667
S0002,S0078,33,1,70,45,0.269565
S0002,S0079,30,0,70,38,0.277778
S0002,S0080,32,0,70,41,0.288288
S0002,S0081,34,0,70,45,0.295652
S0002,S0085,27,0,70,32,0.264706
S0002,S0087,27,0,70,35,0.257143
S0002,S0088,23,1,70,29,0.212121
S0002,S0089,37,0,70,48,0.313559
S0002,S0090,29,2,70,35,0.238095
S0002,S0091,32,1,70,39,0.275229
S0002,S0092,28,0,70,35,0.266667
S0002,S0093,33,0,70,40,0.3
S0002,S0099,28,0,70,35,0.266667
S0002,S0101,30,0,70,39,0.275229
S0002,S0102,30,0,70,37,0.280374
S0002,S0103,30,1,70,38,0.259259
S0002,S0104,28,0,70,35,0.266667
S0002,S0105,32,1,70,45,0.26087
S0002,S0110,44,0,70,49,0.369748
S0002,S0111,32,1,70,42,0.267857
S0002,S0112,38,0,70,49,0.319328
S0002,S0113,26,0,70,32,0.254902
S0002,S0114,31,1,70,40,0.263636
S0002,S0116,25,0,70,28,0.255102
S0002,S0117,27,1,70,29,0.252525
S0002,S0121,62,0,70,68,0.449275
S0002,S0123,33,1,70,43,0.274336
S0002,S0124,40,0,70,47,0.34188
S0002,S0125,15,0,70,25,0.157895
S0002,S0126,28,0,70,34,0.269231
S0002,S0127,25,0,70,32,0.245098
S0002,S0128,32,0,70,37,0.299065
S0002,S0129,27,1,70,35,0.238095
S0002,S0134,42,0,70,47,0.358974
S0002,S0135,29,4,70,36,0.198113
S0002,S0136,19,1,70,28,0.173469
S0002,S0137,30,1,70,38,0.259259
S0002,S0138,28,0,70,36,0.264151
S0002,S0139,31,2,70,37,0.252336
S0002,S0141,27,0,70,35,0.257143
S0002,S0146,39,0,70,45,0.33913
S0002,S0147,22,1,70,32,0.196078
S0002,S0148,33,0,70,40,0.3
S0002,S0150,24,0,70,31,0.237624
S0002,S0151,33,0,70,40,0.3
S0002,S0152,26,1,70,27,0.247423
S0002,S0153,33,1,70,37,0.28972
S0002,S0157,31,1,70,34,0.278846
S0002,S0158,27,1,70,35,0.238095
S0002,S0159,27,0,70,35,0.257143
S0002,S0161,25,1,70,35,0.219048
S0002,S0162,27,1,70,34,0.240385
S0002,S0163,29,3,70,38,0.212963
S0002,S0164,32,0,70,40,0.290909
S0002,S0165,35,1,70,39,0.302752
S0002,S0169,28,2,70,35,0.228571
S0002,S0170,29,0,70,34,0.278846
S0002,S0171,47,0,70,59,0.364341
S0002,S0172,39,0,70,45,0.33913
S0002,S0173,34,1,70,43,0.283186
S0002,S0174,32,0,70,43,0.283186
S0002,S0175,19,0,70,26,0.197917
S0002,S0176,37,1,70,46,0.301724
S0002,S0177,26,1,70,33,0.23301
S0002,S0181,25,0,70,32,0.245098
S0002,S0182,30,0,70,41,0.27027
S0002,S0183,34,2,70,46,0.258621
S0002,S0184,33,0,70,44,0.289474
S0002,S0185,21,0,70,25,0.221053
S0002,S0186,30,0,70,37,0.280374
S0002,S0187,26,0,70,31,0.257426
S0002,S0188,22,0,70,30,0.22
S0002,S0189,33,1,70,40,0.281818
S0004,S0001,9,7,31,34,-0.0769231
S0004,S0002,19,0,31,70,0.188119
S0004,S0004,31,0,31,31,0.5
S0004,S0005,17,13,31,44,-0.12
S0004,S0006,18,3,31,43,0.162162
S0004,S0007,12,13,31,30,-0.229508
S0004,S0008,14,6,31,38,0.0289855
S0004,S0009,9,10,31,28,-0.186441
S0004,S0015,15,1,31,56,0.149425
S0004,S0016,17,10,31,40,-0.0422535
S0004,S0017,13,7,31,40,-0.0140845
S0004,S0018,13,1,31,57,0.125
S0004,S0019,12,13,31,38,-0.202899
S0004,S0020,18,11,31,38,-0.057971
